order_id,server,claim_type,claim_detail,pizza_type,order_date,claim_date
289,Joshua,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-15 12:49:00 UTC,2024-05-15 13:13:00 UTC
297,Joshua,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-15 06:27:00 UTC,2024-05-15 07:00:00 UTC
326,Clarissa,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-16 04:43:00 UTC,2024-05-16 05:42:00 UTC
348,Damien,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-18 14:55:00 UTC,2024-05-18 15:51:00 UTC
157,Clarissa,Taste,The pizza was bland and lacked flavor. It tasted like cardboard.,Calzone,2024-05-08 09:01:00 UTC,2024-05-08 09:44:00 UTC
206,Damien,Taste,The pizza was bland and lacked flavor. It tasted like cardboard.,Calzone,2024-05-11 21:58:00 UTC,2024-05-11 22:50:00 UTC
260,Andi,Taste,The pizza was bland and lacked flavor. It tasted like cardboard.,Calzone,2024-05-13 10:35:00 UTC,2024-05-13 11:17:00 UTC
298,Clarissa,Taste,The pizza was bland and lacked flavor. It tasted like cardboard.,Calzone,2024-05-15 19:48:00 UTC,2024-05-15 20:23:00 UTC
58,Joshua,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-03 13:56:00 UTC,2024-05-03 14:23:00 UTC
65,Clarissa,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-04 19:39:00 UTC,2024-05-04 20:00:00 UTC
137,Clarissa,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-07 12:53:00 UTC,2024-05-07 13:23:00 UTC
145,Andi,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-08 15:11:00 UTC,2024-05-08 15:37:00 UTC
159,Damien,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-08 21:34:00 UTC,2024-05-08 22:10:00 UTC
302,Joshua,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-15 21:49:00 UTC,2024-05-15 22:29:00 UTC
467,Joshua,Taste,The sauce was too garlicky and overwhelmed all the other flavors.,Calzone,2024-05-17 14:09:00 UTC,2024-05-17 14:29:00 UTC
54,Andi,Allergy,The pizza contained an allergen that I specified I was allergic to.,Calzone,2024-05-03 10:15:00 UTC,2024-05-03 11:12:00 UTC
88,Clarissa,Allergy,The pizza contained an allergen that I specified I was allergic to.,Calzone,2024-05-05 23:17:00 UTC,2024-05-06 00:04:00 UTC
170,Clarissa,Allergy,The pizza contained an allergen that I specified I was allergic to.,Calzone,2024-05-09 18:40:00 UTC,2024-05-09 19:07:00 UTC
228,Joshua,Allergy,The pizza contained an allergen that I specified I was allergic to.,Calzone,2024-05-12 10:51:00 UTC,2024-05-12 11:21:00 UTC
254,Clarissa,Allergy,The pizza contained an allergen that I specified I was allergic to.,Calzone,2024-05-13 01:32:00 UTC,2024-05-13 01:56:00 UTC
364,Damien,Allergy,The pizza contained an allergen that I specified I was allergic to.,Calzone,2024-05-18 21:20:00 UTC,2024-05-18 22:18:00 UTC
150,Clarissa,Taste,The spices were overpowering and masked the taste of the other ingredients.,Calzone,2024-05-08 11:59:00 UTC,2024-05-08 12:44:00 UTC
279,Andi,Taste,The spices were overpowering and masked the taste of the other ingredients.,Calzone,2024-05-14 21:57:00 UTC,2024-05-14 22:42:00 UTC
223,Joshua,Service,There was a lack of attention to detail in the preparation of drinks and food.,Calzone,2024-05-11 02:12:00 UTC,2024-05-11 03:02:00 UTC
344,Andi,Service,There was a lack of attention to detail in the preparation of drinks and food.,Calzone,2024-05-17 21:34:00 UTC,2024-05-17 21:54:00 UTC
125,Damien,Other,The pizza place did not cater to dietary restrictions (e.g. gluten-free vegan).,Calzone,2024-05-07 15:55:00 UTC,2024-05-07 16:20:00 UTC
396,Joshua,Taste,tomato sauce was bitter,Hawaiian,2024-05-15 23:46:00 UTC,2024-05-16 00:31:00 UTC
420,Clarissa,Taste,tomato sauce was bitter,Hawaiian,2024-05-16 19:07:00 UTC,2024-05-16 19:33:00 UTC
422,Joshua,Taste,tomato sauce was bitter,Hawaiian,2024-05-17 06:32:00 UTC,2024-05-17 07:00:00 UTC
455,Joshua,Taste,tomato sauce was bitter,Hawaiian,2024-05-18 09:52:00 UTC,2024-05-18 10:18:00 UTC
37,Joshua,Service,The order was incorrect.,Hawaiian,2024-05-02 16:16:00 UTC,2024-05-02 16:40:00 UTC
211,Damien,Service,The order was incorrect.,Hawaiian,2024-05-11 06:21:00 UTC,2024-05-11 06:57:00 UTC
205,Clarissa,Billing,I was overcharged for my order.,Hawaiian,2024-05-11 13:49:00 UTC,2024-05-11 14:23:00 UTC
112,Andi,Other,The Wi-Fi was not working or slow.,Hawaiian,2024-05-06 07:43:00 UTC,2024-05-06 08:30:00 UTC
197,Andi,Service,The staff were rude and unhelpful.,Hawaiian,2024-05-10 18:29:00 UTC,2024-05-10 19:04:00 UTC
366,Joshua,Service,The staff were rude and unhelpful.,Hawaiian,2024-05-18 14:25:00 UTC,2024-05-18 14:47:00 UTC
368,Clarissa,Service,The staff were rude and unhelpful.,Hawaiian,2024-05-19 12:55:00 UTC,2024-05-19 13:20:00 UTC
38,Joshua,Delivery,The pizza arrived late and was cold.,Hawaiian,2024-05-02 15:10:00 UTC,2024-05-02 15:45:00 UTC
49,Joshua,Delivery,The pizza arrived late and was cold.,Hawaiian,2024-05-03 02:13:00 UTC,2024-05-03 02:51:00 UTC
217,Clarissa,Delivery,The pizza arrived late and was cold.,Hawaiian,2024-05-11 04:19:00 UTC,2024-05-11 05:18:00 UTC
238,Joshua,Delivery,The pizza arrived late and was cold.,Hawaiian,2024-05-12 03:11:00 UTC,2024-05-12 03:32:00 UTC
292,Andi,Delivery,The pizza arrived late and was cold.,Hawaiian,2024-05-15 01:28:00 UTC,2024-05-15 02:11:00 UTC
303,Joshua,Delivery,The pizza arrived late and was cold.,Hawaiian,2024-05-15 11:17:00 UTC,2024-05-15 11:45:00 UTC
312,Joshua,Delivery,The pizza arrived late and was cold.,Hawaiian,2024-05-17 00:52:00 UTC,2024-05-17 01:12:00 UTC
192,Damien,Service,The barista made the drink incorrectly.,Hawaiian,2024-05-10 15:56:00 UTC,2024-05-10 16:46:00 UTC
69,Joshua,Other,The restroom was dirty or out of order.,Hawaiian,2024-05-04 06:46:00 UTC,2024-05-04 07:45:00 UTC
135,Damien,Other,The restroom was dirty or out of order.,Hawaiian,2024-05-07 21:43:00 UTC,2024-05-07 22:38:00 UTC
320,Damien,Other,The restroom was dirty or out of order.,Hawaiian,2024-05-16 13:26:00 UTC,2024-05-16 14:02:00 UTC
321,Joshua,Other,The restroom was dirty or out of order.,Hawaiian,2024-05-16 07:41:00 UTC,2024-05-16 08:15:00 UTC
346,Andi,Other,The restroom was dirty or out of order.,Hawaiian,2024-05-17 21:02:00 UTC,2024-05-17 21:23:00 UTC
379,Clarissa,Other,The restroom was dirty or out of order.,Hawaiian,2024-05-19 15:09:00 UTC,2024-05-19 15:50:00 UTC
73,Joshua,Pricing,The pizza was overpriced for the quality.,Hawaiian,2024-05-04 15:09:00 UTC,2024-05-04 15:30:00 UTC
163,Joshua,Pricing,The pizza was overpriced for the quality.,Hawaiian,2024-05-09 22:05:00 UTC,2024-05-09 22:50:00 UTC
262,Damien,Pricing,The pizza was overpriced for the quality.,Hawaiian,2024-05-13 04:11:00 UTC,2024-05-13 05:06:00 UTC
322,Joshua,Pricing,The pizza was overpriced for the quality.,Hawaiian,2024-05-16 06:03:00 UTC,2024-05-16 06:37:00 UTC
339,Joshua,Pricing,The pizza was overpriced for the quality.,Hawaiian,2024-05-17 07:24:00 UTC,2024-05-17 08:09:00 UTC
336,Andi,Atmosphere,The restaurant was too noisy and crowded.,Hawaiian,2024-05-17 06:44:00 UTC,2024-05-17 07:30:00 UTC
405,Joshua,Taste,The tomato sauce was not as good as usual,Hawaiian,2024-05-16 01:43:00 UTC,2024-05-16 02:39:00 UTC
432,Joshua,Taste,The tomato sauce was not as good as usual,Hawaiian,2024-05-16 23:49:00 UTC,2024-05-17 00:41:00 UTC
475,Andi,Taste,The tomato sauce was not as good as usual,Hawaiian,2024-05-17 23:35:00 UTC,2024-05-18 00:34:00 UTC
