order_id,claim_type,claim_detail,claim_date
105,Other,The coffee shop did not offer enough variety on the menu.,2024-05-06 12:07:00
106,Atmosphere,The seating was uncomfortable.,2024-05-07 00:12:00
107,Taste (Food),The food was bland and unappetizing.,2024-05-06 05:29:00
108,Taste (Coffee),The coffee was burnt and bitter.,2024-05-06 21:43:00
109,Taste (Coffee),The coffee was weak and watery.,2024-05-06 08:27:00
110,Other,The prices were too high for the quality offered.,2024-05-06 09:36:00
111,Other,Overall I would not recommend this coffee shop to others.,2024-05-06 21:44:00
112,Atmosphere,The seating was uncomfortable.,2024-05-06 15:17:00
113,Other,The restroom was dirty or out of order.,2024-05-06 09:06:00
114,Other,The coffee shop did not cater to dietary restrictions (e.g.: gluten-free or vegan).,2024-05-06 09:52:00
115,Atmosphere,The lighting was too dim or too bright.,2024-05-06 02:27:00
116,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-06 06:15:00
117,Other,There were limited options for non-coffee drinkers.,2024-05-06 15:02:00
118,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-06 06:30:00
119,Taste (Food),The salad dressing was overwhelming.,2024-05-06 15:08:00
120,Other,The coffee shop did not offer any loyalty or rewards program.,2024-05-06 18:35:00
121,Taste (Food),The food was not fresh.,2024-05-06 02:33:00
122,Atmosphere,The decor was outdated or unappealing.,2024-05-06 09:03:00
123,Atmosphere,There were no available power outlets for charging devices.,2024-05-06 21:25:00
124,Other,The prices were too high for the quality offered.,2024-05-06 18:08:00
125,Other,The restroom was dirty or out of order.,2024-05-06 22:52:00
126,Other,There were limited options for non-coffee drinkers.,2024-05-06 02:34:00
127,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-07 20:56:00
128,Atmosphere,The music was too loud or not to my taste.,2024-05-07 01:51:00
129,Taste (Coffee),The espresso was over-extracted and harsh.,2024-05-07 22:15:00
130,Service,The staff were rude and unhelpful.,2024-05-07 02:28:00
131,Service,The staff seemed uninterested and disengaged.,2024-05-07 06:25:00
132,Service,There was a long wait time for the order.,2024-05-07 03:43:00
133,Atmosphere,The seating was uncomfortable.,2024-05-07 08:05:00
134,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-07 22:42:00
135,Atmosphere,The lighting was too dim or too bright.,2024-05-07 12:55:00
136,Atmosphere,The decor was outdated or unappealing.,2024-05-07 06:46:00
137,Atmosphere,The coffee shop was dirty or untidy.,2024-05-07 07:57:00
138,Service,There was a lack of attention to detail in the preparation of drinks and food.,2024-05-07 20:18:00
139,Other,The prices were too high for the quality offered.,2024-05-07 18:18:00
140,Other,The Wi-Fi was not working or slow.,2024-05-07 05:24:00
141,Other,The coffee shop was not accessible to people with disabilities.,2024-05-07 23:42:00
142,Taste (Food),The sandwich was soggy.,2024-05-08 00:14:00
143,Taste (Food),The food was bland and unappetizing.,2024-05-07 11:44:00
144,Atmosphere,The temperature was too hot or too cold.,2024-05-07 06:10:00
145,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-07 17:50:00
146,Service,There was a long wait time for the order.,2024-05-07 13:39:00
147,Other,The Wi-Fi was not working or slow.,2024-05-08 10:13:00
148,Service,The overall experience was unsatisfactory due to poor service.,2024-05-08 04:53:00
149,Service,The barista made the drink incorrectly.,2024-05-08 01:08:00
150,Atmosphere,The coffee shop was dirty or untidy.,2024-05-08 22:36:00
151,Taste (Pastries),The pastry was stale and dry.,2024-05-08 08:20:00
152,Atmosphere,The coffee shop was too crowded and cramped.,2024-05-08 13:02:00
153,Other,The coffee shop did not cater to dietary restrictions (e.g.: gluten-free or vegan).,2024-05-08 20:33:00
154,Taste (Coffee),The coffee was weak and watery.,2024-05-08 04:54:00
155,Atmosphere,The seating was uncomfortable.,2024-05-08 21:28:00
156,Other,The restroom was dirty or out of order.,2024-05-08 20:16:00
157,Other,There were limited options for non-coffee drinkers.,2024-05-08 12:34:00
158,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-08 09:12:00
159,Other,The prices were too high for the quality offered.,2024-05-08 04:05:00
160,Service,The order was incorrect.,2024-05-08 23:39:00
161,Other,The prices were too high for the quality offered.,2024-05-08 02:25:00
162,Atmosphere,The lighting was too dim or too bright.,2024-05-08 10:07:00
163,Taste (Food),The ingredients did not taste fresh.,2024-05-08 05:02:00
164,Service,The barista made the drink incorrectly.,2024-05-08 13:00:00
165,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-08 23:54:00
166,Other,The coffee shop did not offer enough variety on the menu.,2024-05-08 19:06:00
167,Other,Overall I would not recommend this coffee shop to others.,2024-05-09 11:25:00
168,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-09 23:10:00
169,Atmosphere,The decor was outdated or unappealing.,2024-05-09 11:04:00
170,Other,The prices were too high for the quality offered.,2024-05-09 07:51:00
171,Service,The order was incorrect.,2024-05-09 23:43:00
172,Taste (Food),The ingredients did not taste fresh.,2024-05-09 01:55:00
173,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-09 03:26:00
174,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-09 19:12:00
175,Service,The staff seemed uninterested and disengaged.,2024-05-09 11:02:00
176,Atmosphere,The coffee shop was too noisy and loud.,2024-05-09 09:13:00
177,Atmosphere,The coffee shop was too crowded and cramped.,2024-05-09 17:52:00
178,Service,There was a lack of attention to detail in the preparation of drinks and food.,2024-05-09 11:38:00
179,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-09 01:09:00
180,Taste (Food),The food was bland and unappetizing.,2024-05-09 17:39:00
181,Service,The service was slow and inefficient.,2024-05-09 20:41:00
182,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-09 17:36:00
183,Other,The prices were too high for the quality offered.,2024-05-09 18:09:00
184,Taste (Food),The cake was dry and flavorless.,2024-05-09 12:33:00
185,Atmosphere,The coffee shop was too crowded and cramped.,2024-05-09 02:25:00
186,Other,The coffee shop did not offer any loyalty or rewards program.,2024-05-10 00:50:00
187,Taste (Food),The food was not fresh.,2024-05-09 14:18:00
188,Atmosphere,The coffee shop was too crowded and cramped.,2024-05-09 09:36:00
189,Other,The Wi-Fi was not working or slow.,2024-05-10 14:19:00
190,Service,There was a lack of attention to detail in the preparation of drinks and food.,2024-05-10 21:38:00
191,Taste (Food),The food was not fresh.,2024-05-10 17:26:00
192,Taste (Food),The sandwich was soggy.,2024-05-10 14:44:00
193,Other,The coffee shop did not offer enough variety on the menu.,2024-05-10 13:44:00
194,Atmosphere,The temperature was too hot or too cold.,2024-05-10 07:58:00
195,Taste (Food),The salad dressing was overwhelming.,2024-05-10 04:24:00
196,Atmosphere,The coffee shop was too crowded and cramped.,2024-05-10 07:34:00
197,Other,The coffee shop did not offer enough variety on the menu.,2024-05-10 19:17:00
198,Atmosphere,The lighting was too dim or too bright.,2024-05-10 16:43:00
199,Taste (Coffee),The coffee was burnt and bitter.,2024-05-10 02:58:00
200,Service,The barista made the drink incorrectly.,2024-05-10 03:09:00
201,Atmosphere,The coffee shop was dirty or untidy.,2024-05-10 01:33:00
202,Service,The staff were rude and unhelpful.,2024-05-10 13:18:00
203,Service,The staff were rude and unhelpful.,2024-05-10 12:32:00
204,Other,The coffee shop did not offer enough variety on the menu.,2024-05-10 16:33:00
205,Taste (Food),The ingredients did not taste fresh.,2024-05-10 18:41:00
206,Atmosphere,The temperature was too hot or too cold.,2024-05-10 10:50:00
207,Atmosphere,The coffee shop was dirty or untidy.,2024-05-10 09:59:00
208,Other,The coffee shop was not accessible to people with disabilities.,2024-05-10 13:36:00
209,Taste (Coffee),The espresso was over-extracted and harsh.,2024-05-10 13:51:00
210,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-11 16:15:00
211,Other,The restroom was dirty or out of order.,2024-05-11 05:25:00
212,Taste (Pastries),The pastry was stale and dry.,2024-05-11 20:30:00
213,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-11 22:34:00
214,Other,There were limited options for non-coffee drinkers.,2024-05-11 07:54:00
215,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-11 12:19:00
216,Other,Overall I would not recommend this coffee shop to others.,2024-05-11 20:54:00
217,Taste (Food),The salad dressing was overwhelming.,2024-05-11 13:01:00
218,Service,The staff seemed uninterested and disengaged.,2024-05-11 02:31:00
219,Atmosphere,The lighting was too dim or too bright.,2024-05-12 00:58:00
220,Other,The coffee shop did not offer any loyalty or rewards program.,2024-05-11 03:35:00
221,Taste (Coffee),The espresso was over-extracted and harsh.,2024-05-11 06:06:00
222,Service,The barista made the drink incorrectly.,2024-05-11 04:36:00
223,Service,The service was slow and inefficient.,2024-05-11 16:44:00
224,Other,The Wi-Fi was not working or slow.,2024-05-11 17:56:00
225,Atmosphere,The music was too loud or not to my taste.,2024-05-11 01:18:00
226,Atmosphere,The coffee shop was too crowded and cramped.,2024-05-11 10:09:00
227,Taste (Coffee),The espresso was over-extracted and harsh.,2024-05-11 14:52:00
228,Service,The overall experience was unsatisfactory due to poor service.,2024-05-11 11:26:00
229,Other,The coffee shop did not cater to dietary restrictions (e.g.: gluten-free or vegan).,2024-05-11 08:06:00
230,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-12 01:23:00
231,Other,The coffee shop did not cater to dietary restrictions (e.g.: gluten-free or vegan).,2024-05-12 05:23:00
232,Service,The staff did not address concerns or complaints effectively.,2024-05-12 10:52:00
233,Other,The coffee shop was not accessible to people with disabilities.,2024-05-12 10:22:00
234,Taste (Food),The salad dressing was overwhelming.,2024-05-12 03:24:00
235,Service,The staff were rude and unhelpful.,2024-05-12 02:11:00
236,Atmosphere,There were no available power outlets for charging devices.,2024-05-12 11:44:00
237,Other,The coffee shop did not offer any loyalty or rewards program.,2024-05-12 18:42:00
238,Other,Overall I would not recommend this coffee shop to others.,2024-05-12 08:06:00
239,Atmosphere,The seating was uncomfortable.,2024-05-12 05:56:00
240,Other,The restroom was dirty or out of order.,2024-05-12 23:55:00
241,Atmosphere,The seating was uncomfortable.,2024-05-12 06:36:00
242,Other,There were limited options for non-coffee drinkers.,2024-05-12 18:11:00
243,Service,There was a long wait time for the order.,2024-05-12 21:04:00
244,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-12 15:08:00
245,Service,The barista made the drink incorrectly.,2024-05-12 10:18:00
246,Atmosphere,There were no available power outlets for charging devices.,2024-05-12 07:24:00
247,Other,Overall I would not recommend this coffee shop to others.,2024-05-12 03:57:00
248,Other,The restroom was dirty or out of order.,2024-05-12 08:56:00
249,Service,The barista made the drink incorrectly.,2024-05-12 23:38:00
250,Service,The staff were rude and unhelpful.,2024-05-13 07:31:00
251,Atmosphere,The coffee shop was dirty or untidy.,2024-05-13 23:27:00
252,Other,Overall I would not recommend this coffee shop to others.,2024-05-13 04:13:00
253,Atmosphere,The music was too loud or not to my taste.,2024-05-13 12:40:00
254,Other,The restroom was dirty or out of order.,2024-05-13 21:21:00
255,Taste (Pastries),The pastry was stale and dry.,2024-05-13 11:05:00
256,Atmosphere,The lighting was too dim or too bright.,2024-05-14 00:00:00
257,Atmosphere,The decor was outdated or unappealing.,2024-05-13 20:15:00
258,Service,The service was slow and inefficient.,2024-05-13 21:09:00
259,Taste (Food),The salad dressing was overwhelming.,2024-05-13 02:41:00
260,Atmosphere,The seating was uncomfortable.,2024-05-13 23:37:00
261,Other,The restroom was dirty or out of order.,2024-05-13 14:52:00
262,Taste (Food),The salad dressing was overwhelming.,2024-05-13 07:14:00
263,Other,The coffee shop did not offer enough variety on the menu.,2024-05-13 12:53:00
264,Service,The service was slow and inefficient.,2024-05-13 20:42:00
265,Taste (Food),The food was not fresh.,2024-05-13 03:06:00
266,Atmosphere,The seating was uncomfortable.,2024-05-13 10:07:00
267,Taste (Pastries),The pastry was stale and dry.,2024-05-13 14:49:00
268,Atmosphere,The music was too loud or not to my taste.,2024-05-14 07:56:00
269,Taste (Food),The cake was dry and flavorless.,2024-05-14 14:07:00
270,Other,The coffee shop was not accessible to people with disabilities.,2024-05-14 21:38:00
271,Service,The service was slow and inefficient.,2024-05-14 09:46:00
272,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-14 14:13:00
273,Atmosphere,The coffee shop was too noisy and loud.,2024-05-14 02:02:00
274,Taste (Food),The food was not fresh.,2024-05-14 07:21:00
275,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-14 21:47:00
276,Taste (Coffee),The espresso was over-extracted and harsh.,2024-05-14 03:25:00
277,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-14 05:55:00
278,Other,The Wi-Fi was not working or slow.,2024-05-14 03:29:00
279,Other,Overall I would not recommend this coffee shop to others.,2024-05-14 22:45:00
280,Atmosphere,The coffee shop was dirty or untidy.,2024-05-14 05:22:00
281,Service,The overall experience was unsatisfactory due to poor service.,2024-05-14 01:07:00
282,Other,The coffee shop did not offer enough variety on the menu.,2024-05-14 07:42:00
283,Other,The Wi-Fi was not working or slow.,2024-05-14 06:13:00
284,Other,Overall I would not recommend this coffee shop to others.,2024-05-14 04:51:00
285,Other,The coffee shop did not offer any loyalty or rewards program.,2024-05-14 17:06:00
286,Other,The coffee shop did not offer any loyalty or rewards program.,2024-05-14 17:36:00
287,Atmosphere,The seating was uncomfortable.,2024-05-14 03:01:00
288,Taste (Food),The salad dressing was overwhelming.,2024-05-14 10:02:00
289,Other,The prices were too high for the quality offered.,2024-05-14 09:16:00
290,Taste (Pastries),The pastry was stale and dry.,2024-05-15 22:46:00
291,Atmosphere,The seating was uncomfortable.,2024-05-15 01:06:00
292,Other,The coffee shop was not accessible to people with disabilities.,2024-05-15 11:53:00
293,Taste (Coffee),The coffee was burnt and bitter.,2024-05-15 15:32:00
294,Atmosphere,The coffee shop was dirty or untidy.,2024-05-15 06:57:00
295,Other,There were limited options for non-coffee drinkers.,2024-05-15 13:40:00
296,Other,The restroom was dirty or out of order.,2024-05-15 05:05:00
297,Taste (Food),The salad dressing was overwhelming.,2024-05-15 10:19:00
298,Atmosphere,The temperature was too hot or too cold.,2024-05-15 19:15:00
299,Atmosphere,The seating was uncomfortable.,2024-05-15 23:38:00
300,Other,The coffee shop was not accessible to people with disabilities.,2024-05-15 15:34:00
301,Other,The coffee shop did not offer enough variety on the menu.,2024-05-15 08:13:00
302,Service,The barista made the drink incorrectly.,2024-05-15 02:51:00
303,Taste (Pastries),The pastry was stale and dry.,2024-05-15 06:44:00
304,Service,The service was slow and inefficient.,2024-05-15 06:37:00
305,Atmosphere,The temperature was too hot or too cold.,2024-05-15 14:27:00
306,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-15 15:30:00
307,Taste (Food),The cake was dry and flavorless.,2024-05-15 13:43:00
308,Service,The barista made the drink incorrectly.,2024-05-15 14:27:00
309,Taste (Coffee),The coffee was burnt and bitter.,2024-05-16 01:26:00
310,Atmosphere,The coffee shop was too noisy and loud.,2024-05-16 05:26:00
311,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-16 08:12:00
312,Taste (Coffee),The coffee was burnt and bitter.,2024-05-16 11:29:00
313,Other,Overall I would not recommend this coffee shop to others.,2024-05-16 17:58:00
314,Atmosphere,The lighting was too dim or too bright.,2024-05-16 20:12:00
315,Service,The staff seemed uninterested and disengaged.,2024-05-17 00:33:00
316,Taste (Food),The food was not fresh.,2024-05-16 15:07:00
317,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-16 03:31:00
318,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-16 22:24:00
319,Atmosphere,The coffee shop was too noisy and loud.,2024-05-16 18:02:00
320,Atmosphere,There were no available power outlets for charging devices.,2024-05-16 16:13:00
321,Taste (Coffee),The espresso was over-extracted and harsh.,2024-05-16 02:30:00
322,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-16 16:50:00
323,Atmosphere,The music was too loud or not to my taste.,2024-05-16 03:41:00
324,Other,There were limited options for non-coffee drinkers.,2024-05-16 14:32:00
325,Taste (Food),The food was not fresh.,2024-05-17 00:32:00
326,Service,The staff did not address concerns or complaints effectively.,2024-05-16 06:36:00
327,Service,The staff were rude and unhelpful.,2024-05-16 20:33:00
328,Service,The barista made the drink incorrectly.,2024-05-16 21:35:00
329,Service,The staff seemed uninterested and disengaged.,2024-05-16 08:20:00
330,Service,There was a lack of attention to detail in the preparation of drinks and food.,2024-05-17 23:18:00
331,Service,There was a lack of attention to detail in the preparation of drinks and food.,2024-05-17 23:49:00
332,Service,The barista made the drink incorrectly.,2024-05-17 17:05:00
333,Taste (Coffee),The coffee was weak and watery.,2024-05-17 04:54:00
334,Service,The staff did not address concerns or complaints effectively.,2024-05-17 19:01:00
335,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-17 16:59:00
336,Other,The Wi-Fi was not working or slow.,2024-05-17 07:28:00
337,Other,There were limited options for non-coffee drinkers.,2024-05-17 13:54:00
338,Atmosphere,The decor was outdated or unappealing.,2024-05-17 10:54:00
339,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-17 16:51:00
340,Taste (Coffee),The coffee was burnt and bitter.,2024-05-17 18:23:00
341,Taste (Food),The food was bland and unappetizing.,2024-05-17 14:11:00
342,Atmosphere,There were no available power outlets for charging devices.,2024-05-17 12:09:00
343,Service,There was a long wait time for the order.,2024-05-17 12:53:00
344,Atmosphere,The temperature was too hot or too cold.,2024-05-17 13:29:00
345,Other,There were limited options for non-coffee drinkers.,2024-05-17 08:38:00
346,Other,The coffee shop was not accessible to people with disabilities.,2024-05-17 02:55:00
347,Other,Overall I would not recommend this coffee shop to others.,2024-05-17 17:22:00
348,Taste (Food),The salad dressing was overwhelming.,2024-05-17 17:34:00
349,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-17 07:44:00
350,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-18 17:40:00
351,Taste (Pastries),The pastry was stale and dry.,2024-05-18 22:07:00
352,Taste (Coffee),The coffee was weak and watery.,2024-05-18 11:29:00
353,Other,The prices were too high for the quality offered.,2024-05-18 05:46:00
354,Service,The staff did not address concerns or complaints effectively.,2024-05-19 00:53:00
355,Taste (Food),The sandwich was soggy.,2024-05-18 21:59:00
356,Taste (Pastries),The pastry was stale and dry.,2024-05-18 05:05:00
357,Other,Overall I would not recommend this coffee shop to others.,2024-05-18 04:00:00
358,Taste (Food),The sandwich was soggy.,2024-05-18 09:51:00
359,Taste (Food),The ingredients did not taste fresh.,2024-05-18 04:35:00
360,Other,Overall I would not recommend this coffee shop to others.,2024-05-18 01:34:00
361,Other,The coffee shop was not accessible to people with disabilities.,2024-05-18 06:54:00
362,Other,Overall I would not recommend this coffee shop to others.,2024-05-18 01:53:00
363,Other,The coffee shop was not accessible to people with disabilities.,2024-05-18 02:42:00
364,Taste (Food),The sandwich was soggy.,2024-05-18 07:56:00
365,Atmosphere,There were no available power outlets for charging devices.,2024-05-18 14:29:00
366,Other,The restroom was dirty or out of order.,2024-05-18 11:46:00
367,Other,Overall I would not recommend this coffee shop to others.,2024-05-18 15:00:00
368,Service,The staff were rude and unhelpful.,2024-05-18 22:20:00
369,Atmosphere,The temperature was too hot or too cold.,2024-05-18 09:18:00
370,Atmosphere,The coffee shop was dirty or untidy.,2024-05-19 09:38:00
371,Taste (Food),The food was not fresh.,2024-05-19 20:35:00
372,Taste (Food),The sandwich was soggy.,2024-05-19 16:06:00
373,Service,The order was incorrect.,2024-05-19 08:25:00
374,Atmosphere,The coffee shop was dirty or untidy.,2024-05-19 21:51:00
375,Taste (Coffee),The coffee was burnt and bitter.,2024-05-19 06:49:00
376,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-19 14:09:00
377,Service,There was a lack of attention to detail in the preparation of drinks and food.,2024-05-19 05:09:00
378,Service,The service was slow and inefficient.,2024-05-19 01:35:00
379,Atmosphere,The coffee shop was too noisy and loud.,2024-05-19 11:20:00
380,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-19 02:22:00
381,Atmosphere,The coffee shop was too noisy and loud.,2024-05-19 15:42:00
382,Atmosphere,The seating was uncomfortable.,2024-05-19 12:22:00
383,Other,The prices were too high for the quality offered.,2024-05-19 13:10:00
